,county,Arson_x,Campfire_x,Debris Burning_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Powerline_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Powerline_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,county.1,Total,Brush,Grass,Timber,Woodland,Other,year_x.1,region_x.1,Arson,Campfire,Debris Burning,Equip. Use,Ltng.,Misc.,P-W-F,Power- line,Rail-road,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year_y.1,region_y.1,county_year
120,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
121,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
122,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
123,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,126,0,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
124,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
125,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
126,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
127,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,126,0,0,126,0,0,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
128,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
129,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
130,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
131,Tehama,0,0,5,13,0,17,0,3,2,16,3,3,2010,north,25,31,3,0,0,0,0,2010,north,0,0,9,50,0,24,0,2,0,2,19,9,2010,north,114,1,108,0,0,5,2010,north,$0 ,$0 ,"$5,200 ","$10,200 ",$0 ,"$2,500 ",$0 ,"$30,100 ",$0 ,"$1,300 ","$1,100 ",$0 ,2010,north ,"$10,700 ","$38,700 ","$1,000 ",$0 ,$0 ,$0 ,$0 ,2010,north,Tehama_2010
132,Trinity,0,0,0,0,0,1,0,0,0,0,0,0,2010,north,1,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,,,,,,,,,$0 ,$0 ,$0 ,$0 ,$40 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,,,,,,,,,,Trinity_2010
133,Tulare,20,0,3,15,1,10,0,2,0,0,24,1,2010,south,28,31,11,4,2,0,0,2010,south,313,0,2,"1,033",62,945,0,2,0,0,162,0,2010,south,2519,0,1590,0,0,929,2010,south,"$6,100 ",$0 ,$0 ,"$23,090 ",$620 ,"$28,085 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,south,$0 ,"$7,605 ","$22,490 ","$5,370 ","$22,430 ","$57,895 ",$0 ,2010,south,Tulare_2010
134,Tuolumne,1,0,5,4,2,18,0,2,0,0,24,3,2010,south,16,36,7,0,0,0,0,2010,south,1,0,4,32,2,34,0,8,0,0,195,21,2010,south,298,2,272,3,8,13,2010,south,$0 ,$0 ,$400 ,"$9,450 ",$0 ,"$16,200 ",$0 ,$500 ,$0 ,$0 ,"$52,752 ","$44,200 ",2010,south,"$40,800 ","$25,802 ","$56,900 ",$0 ,$0 ,"$123,502 ","$40,800 ",2010,south,Tuolumne_2010
135,W. San Joaquin,0,0,0,1,0,9,0,2,0,9,0,0,2010,north,9,8,3,1,0,0,0,2010,north,0,0,0,100,0,1,0,93,0,0,24,0,2010,north,218,0,214,0,0,4,2010,north,$0 ,$0 ,$0 ,"$11,000 ",$0 ,"$6,500 ",$0 ,"$14,500 ",$0 ,$0 ,$100 ,$0 ,2010,north ,"$6,500 ",$100 ,"$14,500 ","$11,000 ",$0 ,$0 ,$0 ,2010,north,W. San Joaquin_2010
136,W. Stanislaus,1,0,0,5,0,10,0,1,0,7,2,2,2010,north,7,16,2,0,1,0,0,2010,north,1,0,0,612,0,4,0,5,0,0,94,2,2010,north,716,0,715,0,0,1,2010,north,$0 ,$0 ,$0 ,"$133,500 ",$0 ,$200 ,$0 ,$0 ,$0 ,$0 ,"$8,100 ",$500 ,2010,north ,$200 ,"$3,500 ","$8,600 ",$0 ,"$130,000 ",$0 ,$0 ,2010,north,W. Stanislaus_2010
137,W. Trinity,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,0,0,0,0,0,0,2010,north,0,0,0,0,0,0,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,W. Trinity_2010
138,Yolo,0,0,1,3,0,1,0,0,0,4,0,0,2010,north,1,7,1,0,0,0,0,2010,north,0,0,0,7,0,1,0,0,0,0,31,0,2010,north,39,0,39,0,0,0,2010,north,$0 ,$0 ,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north ,$0 ,$2 ,$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Yolo_2010
139,Yuba,4,0,6,2,0,9,0,3,0,2,16,0,2010,north,16,24,1,0,0,1,0,2010,north,2,0,12,16,0,1517,0,4,0,1,37,0,2010,north,1588,1512,51,0,0,25,2010,north,$0 ,$0 ,$0 ,$0 ,$0 ,"$10,000 ",$0 ,$0 ,$0 ,$0 ,"$7,500 ",$0 ,2010,north ,$0 ,"$17,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,2010,north,Yuba_2010
140,Sonoma-Lake-Napa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025,465,498,6,0,56,2010,north,,,,,,,,,,,,,,,,,,,,,,,,Sonoma-Lake-Napa_2010
