county_year,county,Arson_x,Campfire_x,Debris Burning_x,Elec. Power_x,Equip. Use_x,Ltng._x,Misc._x,P-W-F_x,Railroad_x,Smoking_x,Undet._x,Vehicle_x,year_x,region_x,.25 acres or <_x,.26-9.99 acres_x,10-99 acres_x,100-299 acres_x,300-999 acres_x,1000-4999 acres_x,5000 acres >_x,year_y,region_y,Arson_y,Campfire_y,Debris Burning_y,Elec. Power_y,Equip. Use_y,Ltng._y,Misc._y,P-W-F_y,Railroad_y,Smoking_y,Undet._y,Vehicle_y,Year,Region,Brush,Grass,Timber,Woodland,Other,year_x,region_x,Arson,Campfire,Debris Burning,Elec. Power,Equip.Use,Ltng.,Misc.,P-W-F,Railroad,Smoking,Undet.,Vehicle,year ,region ,.25 acres or <_y,.26-9.99 acres_y,10-99 acres_y,100-299 acres_y,300-999 acres_y,1000-4999 acres_y,5000 acres >_y,year,region
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,9,2,28,16,123,91,69,3,0,1,178,248,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,"$31,080 ","$71,241 ","$415,000 ","$300,000 ",$0 ,$0 ,$0 ,2015,north
Shasta_2015,Shasta,35,5,23,6,13,27,13,5,0,2,31,10,2015,north,106,53,9,2,0,0,0,2015,north,0,0,0,0,0,0,0,0,0,0,0,0,2015,northern,6,370,58,255,79,2015,north,$200 ,$200 ,"$30,000 ",,"$58,800 ",$100 ,"$10,050 ","$3,000 ",$0 ,$0 ,"$413,371 ","$301,600 ",2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Sierra_2015,Sierra,0,0,0,0,0,1,0,0,0,0,0,0,2015,north,0,1,0,0,0,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,0,0,1,0,0,2015,north,$0 ,$0 ,$0 ,,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,0,0,0,0,1,0,0,0,0,0,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,"$59,721 ","$8,000 ",$0 ,$0 ,"$1,185 ",$0 ,$0 ,2015,north
Siskiyou_2015,Siskiyou,4,5,20,5,7,48,63,1,0,0,26,2,2015,north,151,25,4,0,1,0,0,2015,north,0,1,7,1,4,476,1,0,0,0,25,0,2015,northern,3,468,11,31,2,2015,north,"$3,650 ",$0 ,"$2,200 ","$56,001 ","$1,250 ","$1,185 ",$600 ,$0 ,$0 ,$0 ,"$4,020 ",$0 ,2015,north ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,2015,north
